ID,SourceStructureID,TypeSource,TargetStructureID,TypeTarget,Bidirectional,LastModified,Links
587,25001,Ribbon Synapse,1685,Postsynapse,False,2019-07-30T18:09:10.087-07:00,"[{'SourceID': 25893, 'TargetID': 39644, 'Directional': False}]"
588,25001,Ribbon Synapse,1685,Postsynapse,False,2019-01-04T22:05:35.117-08:00,"[{'SourceID': 25898, 'TargetID': 31927, 'Directional': False}]"
589,25001,Ribbon Synapse,1685,Postsynapse,False,2020-03-10T20:50:11.243-07:00,"[{'SourceID': 25900, 'TargetID': 42778, 'Directional': False}]"
590,25001,Ribbon Synapse,1685,Postsynapse,False,2020-05-18T16:24:26.74-07:00,"[{'SourceID': 25910, 'TargetID': 43542, 'Directional': False}]"
591,25001,Ribbon Synapse,1685,Postsynapse,False,2020-05-18T16:27:55.7-07:00,"[{'SourceID': 25911, 'TargetID': 43543, 'Directional': False}]"
592,25001,Ribbon Synapse,1685,Postsynapse,False,2020-03-11T19:46:33.993-07:00,"[{'SourceID': 25913, 'TargetID': 42850, 'Directional': False}]"
593,1069,Ribbon Synapse,262,Postsynapse,False,2019-07-03T16:10:15.51-07:00,"[{'SourceID': 25923, 'TargetID': 38377, 'Directional': False}]"
594,1069,Ribbon Synapse,38647,Postsynapse,False,2019-07-10T21:52:03.913-07:00,"[{'SourceID': 25923, 'TargetID': 38648, 'Directional': False}]"
595,1069,Ribbon Synapse,262,Postsynapse,False,2019-07-03T16:13:26.113-07:00,"[{'SourceID': 25924, 'TargetID': 38381, 'Directional': False}]"
596,1069,Ribbon Synapse,262,Postsynapse,False,2019-07-03T16:16:09.063-07:00,"[{'SourceID': 25929, 'TargetID': 38385, 'Directional': False}]"
597,1069,Ribbon Synapse,38652,Postsynapse,False,2019-07-10T22:14:28.647-07:00,"[{'SourceID': 25929, 'TargetID': 38654, 'Directional': False}]"
598,1069,Ribbon Synapse,2710,Postsynapse,False,2019-07-03T15:08:09.883-07:00,"[{'SourceID': 25935, 'TargetID': 38220, 'Directional': False}]"
599,1069,Ribbon Synapse,262,Postsynapse,False,2019-07-11T16:23:38.787-07:00,"[{'SourceID': 25945, 'TargetID': 38657, 'Directional': False}]"
600,1069,Ribbon Synapse,38658,Postsynapse,False,2019-07-11T16:24:10.637-07:00,"[{'SourceID': 25945, 'TargetID': 38659, 'Directional': False}]"
601,1243,Ribbon Synapse,192,Postsynapse,False,2018-01-18T22:04:18.683-08:00,"[{'SourceID': 26009, 'TargetID': 24865, 'Directional': False}]"
602,1243,Ribbon Synapse,192,Postsynapse,False,2018-01-22T21:44:43.763-08:00,"[{'SourceID': 26011, 'TargetID': 24871, 'Directional': False}]"
603,1243,Ribbon Synapse,192,Postsynapse,False,2018-01-31T19:12:56.62-08:00,"[{'SourceID': 26018, 'TargetID': 24882, 'Directional': False}]"
604,1243,Ribbon Synapse,26412,Postsynapse,False,2019-03-26T17:06:09.09-07:00,"[{'SourceID': 26018, 'TargetID': 34905, 'Directional': False}]"
605,1243,Ribbon Synapse,26412,Postsynapse,False,2019-03-26T17:21:57.157-07:00,"[{'SourceID': 26019, 'TargetID': 34912, 'Directional': False}]"
