ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
41629,244,,False,,0.5,AAAAAAAs30s=,2712,2020-01-02T21:51:27.03-08:00,,jeebikadahal99  ,2020-01-02T21:51:27.03-08:00
41630,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs36o=,31467,2020-01-02T22:12:54.937-08:00,,rpfeiffer       ,2020-01-02T22:12:54.937-08:00
41631,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4JA=,2711,2020-01-03T00:59:23.547-08:00,,rpfeiffer       ,2020-01-03T00:59:23.547-08:00
41632,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4NY=,2711,2020-01-03T01:01:46.06-08:00,,rpfeiffer       ,2020-01-03T01:01:46.06-08:00
41633,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4Qs=,2711,2020-01-03T01:03:29.287-08:00,,rpfeiffer       ,2020-01-03T01:03:29.287-08:00
41634,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4Ss=,2711,2020-01-03T01:04:35.513-08:00,,rpfeiffer       ,2020-01-03T01:04:35.513-08:00
41635,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4Vs=,2711,2020-01-03T01:06:08.733-08:00,,rpfeiffer       ,2020-01-03T01:06:08.733-08:00
41636,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs4W8=,2711,2020-01-03T01:06:50.04-08:00,,rpfeiffer       ,2020-01-03T01:06:50.04-08:00
41637,34,,False,,0.5,AAAAAAAs4ZQ=,2711,2020-01-03T17:49:26.333-08:00,,rpfeiffer       ,2020-01-03T17:49:26.333-08:00
41638,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs4aY=,2711,2020-01-03T17:50:07.773-08:00,,rpfeiffer       ,2020-01-03T17:50:07.773-08:00
